id,parent_id/id,sequence,name,sign,type,display_detail,account_report_id/id,account_type_ids/id
financial_report_aab_33,financial_report_aab_32,33,流动负债总计:,-1,sum,,,
financial_report_aab_34,financial_report_aab_33,34,短期借款,-1,account_type,no_detail,,l10n_cn.user_type_bs68
financial_report_aab_134,financial_report_aab_33,34,交易性金融负债,-1,account_type,no_detail,,
financial_report_aab_35,financial_report_aab_33,35,应付票据,-1,account_type,no_detail,,l10n_cn.user_type_bs69
financial_report_aab_36,financial_report_aab_33,36,应付账款,-1,account_type,no_detail,,l10n_cn.user_type_bs70
financial_report_aab_37,financial_report_aab_33,37,预收账款,-1,account_type,no_detail,,l10n_cn.user_type_bs71
financial_report_aab_38,financial_report_aab_33,38,应付职工薪酬,-1,account_type,no_detail,,l10n_cn.user_type_bs72
financial_report_aab_39,financial_report_aab_33,39,应交税费,-1,account_type,no_detail,,l10n_cn.user_type_bs75
financial_report_aab_40,financial_report_aab_33,40,应付利息,-1,account_type,no_detail,,l10n_cn.user_type_bs174
financial_report_aab_41,financial_report_aab_33,41,应付股利,-1,account_type,no_detail,,l10n_cn.user_type_bs175
financial_report_aab_42,financial_report_aab_33,42,其他应付款,-1,account_type,no_detail,,l10n_cn.user_type_bs73
financial_report_aab_142,financial_report_aab_33,42,一年内到期的非流动负债,-1,account_type,no_detail,,
financial_report_aab_43,financial_report_aab_33,43,其他流动负债,-1,accounts,no_detail,,
financial_report_aab_45,financial_report_aab_32,44,非流动负债总计:,-1,sum,,,
financial_report_aab_46,financial_report_aab_45,45,长期借款,-1,account_type,no_detail,,l10n_cn.user_type_bs101
financial_report_aab_146,financial_report_aab_45,45,长期债券,-1,account_type,no_detail,,
financial_report_aab_47,financial_report_aab_45,46,长期应付款,-1,account_type,no_detail,,l10n_cn.user_type_bs103
financial_report_aab_147,financial_report_aab_45,46,专项应付款,-1,account_type,no_detail,,
financial_report_aab_247,financial_report_aab_45,46,预计负债,-1,account_type,no_detail,,
financial_report_aab_48,financial_report_aab_45,47,延递所得税负债,-1,account_type,no_detail,,
financial_report_aab_49,financial_report_aab_45,48,其他非流动负债,-1,accounts,no_detail,,l10n_cn.user_type_bs104
financial_report_aab_52,financial_report_aab_57,49,所有者权益(或股东权益)总计:,-1,sum,,,
financial_report_aab_53,financial_report_aab_52,50,实收资本(或股本),-1,account_type,no_detail,,l10n_cn.user_type_bs115
financial_report_aab_54,financial_report_aab_52,51,资本公积,-1,account_type,no_detail,,l10n_cn.user_type_bs118
financial_report_aab_55,financial_report_aab_52,52,盈余公积,-1,account_type,no_detail,,l10n_cn.user_type_bs119
financial_report_aab_60,,54,未分配利润-总计,-1,sum,,,
financial_report_aab_56,financial_report_aab_60,54,未分配利润-往年,-1,account_type,no_detail,,l10n_cn.user_type_bs121
financial_report_aab_61,financial_report_aab_60,55,未分配利润-今年,-1,account_report,,account.account_financial_report_profitandloss0,
financial_report_aab_62,financial_report_aab_52,53,未分配利润,-1,account_report,,financial_report_aab_60,
